qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
3wIejfT9l30_q8_0,3wIejfT9l30,Is the man on the right in the end nervous?,Is the man on the right in the end sitting in a relaxed position.,The man on the right is calm and collected.,The man on the right is bored.,"A little, he is recounting an activity he did recently that he had not done in a while.",,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q16_6,3wIejfT9l30,Is the man sitting on the right nervous for his lip sync battle?,The man sitting on the right is panicked for his lip sync battle.,"no, he is very confident",Is the man sitting on the right excited for his lip sync battle.,The man sitting on the right is excited for his lip sync battle.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q3_0,3wIejfT9l30,Is the woman interested in the man's story?,The woman is excited about the upcoming lip sync battle.,The woman is pleased with the man's story.,"Yes, she makes some sounds of agreement after important points.",story because it makes her happy.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q12_0,3wIejfT9l30,What does the woman think about the fact that the man got bitten?,She is happy.,She is surprised,She is angry.,She is amused.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q14_0,3wIejfT9l30,What does the woman think about the man falling asleep everywhere?,The man is funny for falling asleep everywhere.,She is disappointed in him.,She finds it hilarious.,She thinks it's funny.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q1_0,3wIejfT9l30,"Why does the man on the right side of the video say ""uhhh"" and look away at 0:52?",He is scared of the other man's appearance.,He is trying to hide from the camera.,He is trying to think.,He is checking his phone for messages.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q10_0,3wIejfT9l30,Why does the man with thick eyebrows close his eyes at 0:29?,He wants to pretend to fall asleep.,He is trying to enhance his other sense by blocking out sight.,He is trying to remember the lyrics to a song.,He is pretending to be asleep so he doesn't have to talk to the man with thick eyebrows.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q17_0,3wIejfT9l30,Why does the red haired woman appear surprised?,The man said he had a new girlfriend.,The man in the sweater said he got bitten.,The woman is surprised because she won the lottery.,The red haired woman is surprised because she saw a UFO.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q13_0,3wIejfT9l30,Why does the woman poke the man next to her at 0:33?,She wants to tickle him for fun.,The woman is trying to get the man's attention.,The woman is trying to wake up the man because he is snoring too loudly.,She wants to try to wake up the seemingly sleeping man.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q2_9,3wIejfT9l30,Why does the woman pretend to believe the man?,She pretends to believe him so as not to hurt his feelings.,she wants to make the conversation more interesting,The woman laughs because she thinks the man is cute.,The woman is pretending to believe the man to impress her friends.,,"[0, 1, 2, 3, 4, 5, 6]",3
3wIejfT9l30_q4_0,3wIejfT9l30,Why is the man on the right nervous?,He's uncomfortable when on TV.,He hasn't danced in a long time and he's not sure how good he will be.,The woman with red hair is actually a famous singer.,The man in the black suit is actually a spy.,,"[0, 1, 2, 3, 4, 5, 6]",3
44MVdpDEQJs_q2_3,44MVdpDEQJs,Does the man remember the past fondly?,No he is shocked and surprised by it,The man is nostalgic about the Civil Rights Movement.,man reflects upon the past in a positive light.,The man is excited about the progress made during the Civil Rights Movement.,,"[0, 1, 2, 3, 4]",2
44MVdpDEQJs_q1_3,44MVdpDEQJs,How does the man feel about the bombing?,The man finds the bombing amusing.,The man thinks the bombing was justified.,the man feels very strongly about the bombing. He feels that it was an immoral unforgivable act,He cares about it.,,"[0, 1, 2, 3, 4]",2
44MVdpDEQJs_q4_9,44MVdpDEQJs,How does the man feel about the other men he mentions?,He likes them.,"Through the context two things are clear, he holds them in very high regard, but also, judging from his eye gestures, he thinks all the things happening at that time were crazy and he cannot believe looking back that those men had to fight for something so reasonable",He thinks the other men are foolish and misguided.,He is jealous of the other men's achievements.,,"[0, 1, 2, 3, 4]",2
44MVdpDEQJs_q3_11,44MVdpDEQJs,Why is the boy in black kneeling?,The boy in black is protesting against the Civil Rights Movement.,The boy in black is taking a break from playing basketball.,he seems to be begging someone,It is difficult to say but he might be praying or crying over his loved ones,,"[0, 1, 2, 3, 4]",2
44MVdpDEQJs_q5_3,44MVdpDEQJs,Why is the man angry?,The man is angry at the images he was shown.,The man in the center is frustrated with the conversation.,The man is angry because he cannot believe how evil people were back then,The man is angry because he lost his keys.,,"[0, 1, 2, 3, 4]",2
4AmVjblOvy4_q4_0,4AmVjblOvy4,Does the blonde woman feel offended by what the brown-haired woman says in Spanish?,"No, she feels playful and likes to joke around with the other woman.","Yes, she takes personal offense to what the other woman says.","Yes, she is offended by what the brown-haired woman says in Spanish.","No, she doesn't react as such.",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
4AmVjblOvy4_q2_6,4AmVjblOvy4,How does the blonde girl react when the other girl says she mixed vodka and wine?,She is surprised but curious,She is surprised by what the other girl said.,She is confused why the blonde woman didn't mention the twist.,The blonde girl is surprised by what the other girl said.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
4AmVjblOvy4_q5_3,4AmVjblOvy4,Why do the women wink at each other?,The women are winking at each other to make eye contact.,They are manipulating their viewers.,The women are winking at each other to signal a secret message.,They are drunk and happy.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
4AmVjblOvy4_q1_3,4AmVjblOvy4,Why does the blonde girl close her eyes while talking about the whiskey?,She was trying to remember the name of a whiskey she had tried before.,Because she is a bit tipsy and drunk,She knows the alcohol will be string.,She is allergic to whiskey and was trying to avoid a reaction.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
4AmVjblOvy4_q3_6,4AmVjblOvy4,Why does the girl in black shirt pinch her nose and make a face?,Because she smells something really good,The girl in black shirt is trying to hold back a sneeze.,The girl in black shirt is allergic to beer.,She is not used to drinking strong alcohol.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
4HN0caXjW3s_q4_8,4HN0caXjW3s,Why did the man on the left stop laughing?,The man on the left stopped laughing because the man in the suit made a bad joke.,The man on the left is feeling sad.,He changes his attitude to confuse the audience alot,To adjust to the mood,,"[0, 1, 2, 3, 4, 5, 6, 7]",6
4HN0caXjW3s_q2_0,4HN0caXjW3s,Why does the man on the left laugh at the beginning?,The man on the left laughs because he finds the man on the right amusing.,The man on the left laughs because he is nervous.,He is entertained by the jokes of the man on the right,He is belittling the man on the right.,,"[0, 1, 2, 3, 4, 5, 6, 7]",6
4HN0caXjW3s_q1_4,4HN0caXjW3s,Why does the man on the left's attitude change from joking to serious?,The man on the left's attitude changes because he realizes he left his oven on at home.,The man on the left's attitude changes because he realizes the Lakers are not going to get the number one draft pick.,"disorder, so he cannot control his emotions",Because that is the mood,,"[0, 1, 2, 3, 4, 5, 6, 7]",6
4HN0caXjW3s_q5_6,4HN0caXjW3s,Why is the man on the right using his hands while he speaks?,To gesture wildly and distract the audience.,The man on the right is practicing his juggling skills.,To enliven,The man on the right is trying to catch a fly.,,"[0, 1, 2, 3, 4, 5, 6, 7]",6
4HN0caXjW3s_q3_10,4HN0caXjW3s,Why were the two men laughing?,To enliven the conversation.,The man on the leftmost is amused by the conversation.,To enliven the mood,The man on the left laughs because he has a teddy bear.,,"[0, 1, 2, 3, 4, 5, 6, 7]",6
4_BudcPRi7E_q7_8,4_BudcPRi7E,Describe the interaction between the two men,left seems to be a friend of the man on the right.,The man on the right seems to be learning from the man on the left.,The man on the left is trying to convince the man on the right to vote for a third-party candidate.,The man on the left is trying to sell the man on the right a used car.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q2_4,4_BudcPRi7E,Describe the tone of the man on the left,His tone is very friendly and he is not aggressive.,The tone of the man is very informative.,The man on the left seems bored and uninterested.,The man on the left is whispering and secretive.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q4_0,4_BudcPRi7E,Does the man in blue seem knowledgeable about history?,"Yes, because he knows specific facts few other people pay attention to.","No, because he's joking about history.",Because he is wearing a blue suit.,Because he is a good dancer.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q5_6,4_BudcPRi7E,Does the man in blue suit have a sense of humor?,N/A (no rewriting needed),"Yes, he has a sense of humor.",The man in blue suit is a professional clown.,The man in blue suit is a famous musician.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q3_0,4_BudcPRi7E,Does the man on the left follow the common opinion about the election?,He thinks the election is not unique.,He thinks the election is boring.,"No, he believes the election is similar to other elections, contrary to what others believe.","No, he believes the election is different than other elections, contrary to what others believe.",,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q1_7,4_BudcPRi7E,How does the man on the right react to the man on the left's speech?,He is surprised by the man's lack of knowledge.,He is curious about his comments.,is very interested in his speech.,He is surprised by the man's statement.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q6_0,4_BudcPRi7E,What does the man on the left believe about elections?,He believes that elections are necessary and straightforward.,He believes that elections are necessary but involve a lot of unnecessary mess.,He believes that elections can be done.,He thinks that elections are a waste of time.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q9_0,4_BudcPRi7E,What is the man in blue attempting to do?,The man in blue is trying to convince people to vote for a specific candidate.,He's attempting to seem funny and relevant.,The man in blue wants to engage voters so they will be interested in the election.,He's trying to ease the tension of the current election by showing many elections were intense and controversial.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q8_3,4_BudcPRi7E,What makes the audience laugh at first?,When the man talks about what Jefferson wrote about Adams.,The men start arguing about their favorite sports teams and the audience laughs.,The man spills his coffee on his shirt and the audience laughs.,The audience actually doesn't even laugh.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q11_0,4_BudcPRi7E,Why does the audience laugh at the end of the video?,The audience laughs because the man on the left made an inappropriate joke about the woman on the right.,The audience laughs because they are watching a comedy show after the video.,The audience laughs because the man on the right made a joke.,The audience laughs because the man on the left was redundant and made a funny comment.,,"[0, 1, 2, 3, 4, 5, 6]",4
4_BudcPRi7E_q10_0,4_BudcPRi7E,Why is the man in black surprised by what the man in blue is saying?,He thought he knew everything about past elections.,The man in black is surprised that the man in blue knows so much.,He is surprised by the man's choice of suit color.,He learned something interesting and scandalous.,,"[0, 1, 2, 3, 4, 5, 6]",4
56EbHWYK_q0_q4_6,56EbHWYK_q0,Did the lady on the right appear to enjoy the conversation?,The woman on the right is distracted by her phone.,The woman on the right is invested in the conversation.,The woman on the right is struggling to stay awake during the conversation.,She is fearful of speaking to the man.,,"[0, 1, 2, 3, 4]",1
56EbHWYK_q0_q1_9,56EbHWYK_q0,How did the lady feel about the 20/20 plan?,They are amazed by the man's suit.,She is not interested in the 20/20 plan.,The woman is interested in the 20/20 plan.,She was shocked by the details.,,"[0, 1, 2, 3, 4]",1
56EbHWYK_q0_q2_10,56EbHWYK_q0,How does the man feel about the future of the students?,The man does not want to talk about the future of the students.,The man is worried about the future of the students.,The man likes talking about the future of the students.,The man cares about the future of the students.,,"[0, 1, 2, 3, 4]",1
56EbHWYK_q0_q5_9,56EbHWYK_q0,Is the man content with his job?,"No, he is dissatisfied with his job.",The man is excited about his position.,"No, he is worried about the future of his company.","Yes, the man believes he is making other people rich.",,"[0, 1, 2, 3, 4]",1
56EbHWYK_q0_q3_3,56EbHWYK_q0,Why does the man prefer tangible improvements?,The man likes tangible improvements because they are easy to point to.,The man thinks tangible improvements are a waste of time.,The man prefers tangible improvements because they give him a sense of accomplishment.,The man prefers intangible improvements.,,"[0, 1, 2, 3, 4]",1
6rkV4QRcVnk_q4_0,6rkV4QRcVnk,How did the lady feel towards the book?,She was too excited by it.,The woman is happy because she found a new job.,She was interested in it.,She was not too excited by it.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1
6rkV4QRcVnk_q1_8,6rkV4QRcVnk,Is the woman frustrated with the book?,The woman is excited to read the book again.,he likes the book very much,The woman is happy with the book but wishes it had more pictures.,"she does not lke it, but not frustrated",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1
6rkV4QRcVnk_q5_3,6rkV4QRcVnk,Why did the lady appear to be sober with her warning?,the women truly felt that this video would be a controversial thing,The woman is warning viewers about the background books.,The woman wants to warn people about the dangers of reading the play.,She wanted to warn the audience that the book was hard to read.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1
6rkV4QRcVnk_q3_9,6rkV4QRcVnk,Why does the woman laugh?,She laughs because of a joke she remembered.,She thinks that what she is saying is funny.,The woman laughs because what she said was ridiculous and humorous.,to ligten the mood around a serious topic,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1
6rkV4QRcVnk_q2_9,6rkV4QRcVnk,Why does the woman use gestures?,She is very shy and does not like her audience.,the women uses gestures to mainly add force to her discalimers,The woman uses gestures to emphasize her love for the play.,The woman avoids eye contact because she is nervous about being on camera.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1
6tAfdCTnToY_q10_0,6tAfdCTnToY,Does the man in the dark shirt respect the man in the white shirt?,"No, he cares.","Yes, because he is listening intently.",The women are discussing their favorite TV shows and not paying attention to the video.,The man in the dark shirt is distracted by his phone and not paying attention to the man in the white shirt.,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q7_0,6tAfdCTnToY,Does the man on the left believe in the usefulness of the thing he is talking about?,"Yes, he thinks that it is useful","No, his voice suggests that he doubts it","No, he doesn't think it's useful.",The man is distracted by something outside the window.,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q2_0,6tAfdCTnToY,How does the man on the left feel about Proof Works?,The man on the left is skeptical about Proof Works.,The man on the left is excited about the new iPhone release.,He's representing Proof Works and the benefits of using Proof Works,He's learning about how to use Proof Works,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q11_0,6tAfdCTnToY,How is the man on the left presenting himself?,The man on the left is trying to sell a product to the other man.,The man on the left is presenting himself as a sexy man.,He's very calm and informative,The man on the left is very nervous and unprepared.,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q4_0,6tAfdCTnToY,How is the man on the right feel about Proof Works?,He's wondering if he left the stove on at home.,They are discussing a new restaurant they want to try.,He is skeptical about the benefits of Proof Works.,He's asking questions so that the man on the left can explain more about Proof Works,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q8_0,6tAfdCTnToY,Is the man in blue angry with the man in white?,The man in blue is confused about the tool.,"No, because he is calm and smiling.",The man in blue is frustrated with the man in white.,"Yes, because he thinks the other man in insulting him.",,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q1_6,6tAfdCTnToY,Is the man in white upset?,"No, the man in white seems to be maintaining a professional tone","Yes, because he is faced with a difficult situation.",The man in white is confused about the topic.,The man in white seems to be anxious.,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q3_0,6tAfdCTnToY,What is the goal of the man sitting on the left in the video?,He wishes to explain something to the other man,He is trying to influence the other man's opinion on Proof Works.,He is trying to convince the other man to invest in his new business.,He wishes to convince the other man of his viewpoint,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q6_6,6tAfdCTnToY,What is the tone of the man in the white shirt?,The man in the white shirt sounds bored and unenthusiastic.,It is happy.,The man in the white shirt is uninterested.,The man in the white shirt has a professional tone,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q5_5,6tAfdCTnToY,Why does the man in white use many hand gestures?,The man in white uses many hand gestures to express his anger.,The man in white was trying to sell the other man a car.,The man in white uses many hand gestures to better articulate his points to the other man,The man in white uses many hand gestures to distract the other man.,,"[0, 1, 2, 3, 4]",2
6tAfdCTnToY_q9_0,6tAfdCTnToY,Why does the man on the right question the man on the left?,He wishes to gain a deeper understanding about the subject matter,He wishes to ask the man on the left a question.,He is trying to impress the other man with his knowledge.,He is trying to prove the other man wrong.,,"[0, 1, 2, 3, 4]",2
72ltfGTYqpQ_q10_10,72ltfGTYqpQ,Are the men hostile towards each other?,"the man in black doesn't want his ticket to be seen by the other man, so he is avoiding eye contact.",The men are not hostile towards each other because they don't want to alarm the woman.,The men are discussing their favorite sports teams.,The man is arguing with the others but trying to keep his voice down.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q6_0,72ltfGTYqpQ,Does the man believe in what he is saying?,The man wearing glasses is lying to the viewers.,The man is lying to the viewers.,"No, he is sharing an opinion that he does not believe in.","Yes, he believes eh is correct.",,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q3_0,72ltfGTYqpQ,Does the man think transit has enough financial support?,"Yes, he thinks they have enough money.",The man thinks transit has enough financial support.,"No, he says more and more money is deferred to transit costs.","The man thinks transit has some financial support, but not enough.",,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q2_0,72ltfGTYqpQ,How do the two men and woman interact with each other?,The men and woman are casual as they talk amongst themselves.,The woman dominates the conversation while the men listen passively.,The men and woman interact informally and in a serious manner with each other.,The men and woman interact formally and in a serious manner with each other.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q5_0,72ltfGTYqpQ,How does the guest express the host is right with his statement?,The guest nods his head in disagreement.,He nods his head.,The guest raises his eyebrows in surprise.,"He verbally says ""correct.""",,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q1_0,72ltfGTYqpQ,How does the man communicate his message?,He answers the questions with multiple evidences.,He tells a story.,He speaks in a monotone voice to communicate his message.,He uses hand gestures to communicate his message.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q13_0,72ltfGTYqpQ,How does the woman host offer a different perspective?,She just asks him to say another expression.,She suggests a different approach to the issue.,She interrupts the man and changes the topic.,She asks another question and puts herself in the shoes of another person.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q4_0,72ltfGTYqpQ,Is the man knowledgeable about the topic he is talking about?,The man in glasses is lying about the use of wheel tax money revenue.,No the man is making things up as he speaks.,Yes the man seems to know what he is talking about and answers the woman's question.,The woman in the blue dress is talking about her favorite food.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q11_5,72ltfGTYqpQ,What is the man in grey worrying about?,"The man in grey is worried about a lack of money in a town's transportation budget, which he thinks is alarming because he values transportation.",The man in grey is worried about the weather.,"The man in grey is worried about keeping busses off the roads because he doesn't - Rewrite: have enough money to pay for all of the buses needed in the town, causing him to express concern about the lack of transportation options available.",The man in grey is uncertain about the funding for transportation-related projects.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q15_0,72ltfGTYqpQ,What is the man trying to do?,He is trying to make the audience happy.,He is trying to convince the audience.,The man is trying to sell a car.,He wants to cut off a pointless argument.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q7_0,72ltfGTYqpQ,What is the role of the woman?,The woman is a transportation expert.,The woman is a journalist who reports on celebrity gossip.,She shares her opinion.,She asks questions and gains more information.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q8_0,72ltfGTYqpQ,Why did the man with the tie and the woman interrupt the man with the glasses as he was talking?,The man with the tie and the woman wanted to ask questions and clarify what the man with the glasses was saying.,The man with the tie and the woman were arguing with each other.,The man and the woman were interested in the man with the glasses.,The man interrupted the man with glasses to talk to the woman.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q9_0,72ltfGTYqpQ,Why do the man without glasses and the woman speak at once?,They are arguing about the best way to use the money.,The man wearing glasses is excited to share his opinion on the matter.,They have questions at the same time,They agree with each other and are eager to express that agreement,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q14_6,72ltfGTYqpQ,Why does the man in grey seem surprised?,The man is surprised by the color of the woman's dress.,"The man is surprised by the potential fare hikes, as he did not expect them.",He is confused by what the woman in blue is asking.,"The man is surprised by how much a ticket price would raise, as he thinks of ticket prices as being stable.",,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q17_11,72ltfGTYqpQ,Why does the man in grey use gestures?,The man in grey nods his head to emphasize a point he just made.,The man in grey uses gestures because he wants to downplay how serious the problem is,The man in grey uses gestures because they help him communicate his ideas.,The man in grey is trying to distract the audience with his gestures.,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q16_0,72ltfGTYqpQ,Why does the man with glasses emphasize certain words?,He emphasizes certain words to highlight the negative impact of fare hikes.,He emphasizes certain words to make himself sound more intelligent.,He wants to stress the negative impact of the project,He wants to stress the positives and negatives of the project,,"[0, 1, 2, 3, 4, 5]",2
72ltfGTYqpQ_q12_8,72ltfGTYqpQ,Why does the woman feel the need to ask her question?,The woman is curious about the impact of fare hikes on commuters and asks questions to learn more.,The woman wants to know more about the man in the blue suit's outfit.,The woman wants to ask her question because she anticipates that some people will not otherwise pay attention.,The woman wants to ask her question because she wants to know the answer.,,"[0, 1, 2, 3, 4, 5]",2
AQX2Q-V2Uh8_q1_0,AQX2Q-V2Uh8,What attitude does the bald man portray?,The bald man is dismissive and uninterested.,"He is comfortable, confident, and sarcastic",He is confident and a leader.,He is angry and frustrated.,,"[0, 1, 2, 3]",1
AQX2Q-V2Uh8_q3_2,AQX2Q-V2Uh8,What is the atmosphere like in the room?,The atmosphere is chaotic and disorganized.,"the atmosphere is tense and suspenseful, but also somewhat carefree",The atmosphere is calm and relaxed.,"Sorry, I cannot rewrite the incorrect answer without context. Please provide more information or another example for me to assist.",,"[0, 1, 2, 3]",1
AQX2Q-V2Uh8_q5_6,AQX2Q-V2Uh8,why does the man break down the word mentalism?,He is intrigued by the concept of mentalism.,Because he thinks that defining mentalism won't help the man in the suit with the interrogation.,He thought the mentalist was talking too fast.,the man wants to be heard clearly,,"[0, 1, 2, 3]",1
AQX2Q-V2Uh8_q2_3,AQX2Q-V2Uh8,why does the man in grey shirt grunt before answering the question?,the man grunts because he is in discomfort physically,"He motions with his hands and arms to emphasize the word ""mentalist"".",He looks confused and asks for clarification.,"Because ""mentalist"" wouldn't exactly be the word he would use to describe himself.",,"[0, 1, 2, 3]",1
AQX2Q-V2Uh8_q4_8,AQX2Q-V2Uh8,why does the man nod  and smirk when he hears himself being referred to as a mentallist?,They laugh because the man in black made a funny face.,"due to his love for mentalism, which he practices as a hobby.",Because they like his nickname.,"Because ""mentalist"" is an old nickname that refers to his ""glory days"" as a magician.",,"[0, 1, 2, 3]",1
AiIrjf-s128_q13_0,AiIrjf-s128,Are the man and woman friendly with each other?,"Yes, they do enjoy talking with each other.",They are friendly with each other.,"Yes, they talk amiably and are happy in each other's presence.",They are discussing their favorite books.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q5_3,AiIrjf-s128,Describe the man's mood throughout the video based on his body language and tone,He appears to be annoyed and impatient.,The man seems anxious about being successful.,He seems to be a little bit shy.,The man seems uninterested and bored.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q7_10,AiIrjf-s128,Describe the man's reaction at 0:30 and what this means about his mood,The man is distracted by something in the background and doesn't hear the woman's comment.,aback and offended by what the woman said.,He appears to agree with the woman's comment.,The man feels offended by the woman's comment.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q4_10,AiIrjf-s128,Describe the relationship between the woman and the man,Their relationship is civil.,Their relationship appears to be quite tumultuous and uneasy.,The woman found his comment funny because she has also gotten to know people in an unorthodox way.,They are both from different countries.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q6_3,AiIrjf-s128,Does the man value intelligence?,"Yes, he seems to respect the woman.",He thinks that the other person is his new stylist.,The man values his intelligence over his appearance.,The man is confident in his intelligence.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q3_0,AiIrjf-s128,How did the man respond to the news about his fans?,He is concerned about his privacy being invaded.,He was excited about the news.,He is overwhelmed by the attention.,He was exhilarated that he has such a big fanbase.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q11_0,AiIrjf-s128,How does the man feel about his stylist?,the man has a positive opinion about his stylist,the man has a positive opinion about his stylist,The man dislikes his stylist's fashion sense.,The man has a fear of heights.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q1_0,AiIrjf-s128,How does the woman feel about the man?,She has a positive opinion about the man,The woman is annoyed by the man's voice.,She has a positive opinion about the man,The woman thinks the man is a terrible singer.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q8_0,AiIrjf-s128,How was the lady during the interview?,She appeared to be very excited.,She seemed bored during the interview.,"The man is actually the interviewer, not the interviewee.",She appeared to be interested.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q12_0,AiIrjf-s128,How was the mood of the interview?,The conversation was tense and argumentative.,The mood was tense and dark.,The mood was formal and professional.,The mood was light and cheerful,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q10_0,AiIrjf-s128,What does the woman think about the image of the man in the white shirt?,She is interested in it.,The woman thinks that the man's white shirt is too flashy.,She is amazed and awestruck positively by it.,The woman is surprised by the man's haircut.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q9_3,AiIrjf-s128,Why do the two people celebrate breaking the Internet?,They are celebrating because they won a bet.,They think breaking the Internet means that the man committed a felony.,Because it is a status of fame.,They are celebrating because they discovered a new planet.,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
AiIrjf-s128_q14_0,AiIrjf-s128,Why is the woman asking the man questions?,She wants to know more about him.,The woman is asking Michał questions because she thinks his appearance in a white shirt was weird.,The woman is trying to sell the man a new car.,She wants to know more about him,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
C0g5RjQ7cRE_q4_7,C0g5RjQ7cRE,How do the two people feel about each other?,They have a lot of respect for each other.,They are old friends.,They are really nice to each other.,They are professional,,"[0, 1, 2, 3, 4, 5, 6]",3
C0g5RjQ7cRE_q5_6,C0g5RjQ7cRE,How does the woman feel about the idea of plantations?,the idea passionately.,She thinks farms are better,The woman is discussing her favorite type of music.,The woman is talking about her favorite type of food.,,"[0, 1, 2, 3, 4, 5, 6]",3
C0g5RjQ7cRE_q1_3,C0g5RjQ7cRE,How does the woman present the show?,She is excited,She knows a lot about it.,The woman is nervous about the show's reception.,The woman is monotone while presenting the show.,,"[0, 1, 2, 3, 4, 5, 6]",3
